Arch,SR,Latency,Tokens
MAS,0.94,2.97,805.65
Rule,0.78,0.0,0.0
GPT-5,0.66,30.34,1988.87
Gemini-3,0.65,92.48,1948.63
Llama3,0.85,21.37,1634.24
DeepSeek-R1,0.78,20.55,1539.09
Qwen3,0.86,29.08,1805.51
