Method,SR,Latency,Tokens
Multi-agent,0.94,2.97,805.65
Rule-based,0.78,0.0,0.0
GPT5,0.87,15.53,1535.58
Gemini3,0.82,19.44,2583.52
DeepSeek-R1,0.78,20.55,1539.09
Llama,0.85,21.37,1634.24
Qwen3,0.86,29.08,1805.51
