Model,SR,Latency_Pure,Tokens
Multi-agent,0.9416666666666667,2.9734166666666666,805.65
Rule-based,0.78,0.0,0.0
GPT-5,0.6583333333333333,30.1445,1988.8666666666666
Gemini 3,0.65,92.32858333333333,1948.625
DeepSeek-R1,0.78,20.55,1539.09
Llama 3,0.85,21.37,1634.24
Qwen 3,0.86,29.08,1805.51
